date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
5/30/2024,Danville,Mizener,R,1,87,FB,2,1,0
5/30/2024,Danville,Mizener,R,2,54,CB,5,1,0
5/30/2024,Danville,Mizener,R,3,75,SL,13,1,1
5/30/2024,Danville,Mizener,R,3,72,SL,5,0,0
5/30/2024,Danville,Mizener,R,3,,FB,13,0,0
5/30/2024,Danville,Mizener,R,3,79,FB,13,0,0
5/30/2024,Danville,Mizener,R,3,69,CH,5,1,0
5/30/2024,Danville,Mizener,R,4,72,CB,8,0,0
5/30/2024,Danville,Mizener,R,4,,FB,12,0,0
5/30/2024,Danville,Mizener,R,4,80,FB,10,0,0
5/30/2024,Danville,Mizener,R,4,82,FB,1,1,0
5/30/2024,Danville,Mizener,L,5,73,CH,12,0,0
5/30/2024,Danville,Mizener,L,5,80,FB,8,1,0
5/30/2024,Danville,Mizener,R,6,,FB,13,0,0
5/30/2024,Danville,Mizener,R,6,70,SL,4,1,0
5/30/2024,Danville,Mizener,L,7,74,CH,7,1,1
5/30/2024,Danville,Mizener,L,7,75,CH,5,0,0
5/30/2024,Danville,Mizener,L,7,79,FB,13,0,0
5/30/2024,Danville,Mizener,L,7,75,CH,12,0,0
5/30/2024,Danville,Mizener,L,7,76,FB,12,0,0
5/30/2024,Danville,Mizener,L,7,74,CH,13,0,0
5/30/2024,Danville,Mizener,R,8,,FB,1,0,0
5/30/2024,Danville,Mizener,R,8,,FB,10,1,1
5/30/2024,Danville,Mizener,R,8,84,FB,11,0,0
5/30/2024,Danville,Mizener,R,8,,CB,9,1,1
5/30/2024,Danville,Mizener,L,9,82,FB,10,0,0
5/30/2024,Danville,Mizener,L,9,,FB,13,0,0
5/30/2024,Danville,Mizener,L,9,83,FB,4,1,0
5/30/2024,Danville,Mizener,L,9,72,SL,6,0,0
5/30/2024,Danville,Mizener,L,9,73,CB,8,0,0
5/30/2024,Danville,Mizener,R,10,72,CB,9,0,0
5/30/2024,Danville,Mizener,R,10,72,SL,13,0,0
5/30/2024,Danville,Mizener,R,10,82,FB,11,0,0
5/30/2024,Danville,Mizener,R,10,,CB,10,0,0
5/30/2024,Danville,Mizener,R,10,82,FB,2,1,0
5/30/2024,Danville,Mizener,R,11,68,CH,12,0,0
5/30/2024,Danville,Mizener,R,11,80,FB,10,0,0
5/30/2024,Danville,Mizener,R,11,74,SL,5,1,1
5/30/2024,Danville,Mizener,R,11,71,CH,13,0,0
5/30/2024,Danville,Mizener,R,11,82,FB,8,0,0
5/30/2024,Danville,Mizener,R,11,,FB,13,0,0
5/30/2024,Danville,Mizener,R,12,79,FB,12,0,0
5/30/2024,Danville,Mizener,R,12,73,SL,13,0,0
5/30/2024,Danville,Mizener,R,12,66,CB,12,0,0
6/18/2024,Carolina,Mizener,R,1,76,CH,10,0,0
6/18/2024,Carolina,Mizener,R,1,81,FB,2,1,0
6/18/2024,Carolina,Mizener,R,2,80,FB,1,1,1
6/18/2024,Carolina,Mizener,R,2,77,SL,13,0,0
6/18/2024,Carolina,Mizener,R,2,77,CH,9,0,0
6/18/2024,Carolina,Mizener,R,3,81,FB,11,1,0
6/18/2024,Carolina,Mizener,R,3,65,CB,13,0,0
6/18/2024,Carolina,Mizener,R,3,79,FB,11,1,0
6/18/2024,Carolina,Mizener,R,3,71,CB,3,1,0
6/18/2024,Carolina,Mizener,R,4,70,CB,13,0,0
6/18/2024,Carolina,Mizener,R,4,,FB,2,1,0
6/18/2024,Carolina,Mizener,R,5,79,FB,10,0,0
6/18/2024,Carolina,Mizener,R,5,74,CH,10,0,0
6/18/2024,Carolina,Mizener,R,5,76,SL,8,1,0
6/18/2024,Carolina,Mizener,R,6,68,CB,10,0,0
6/18/2024,Carolina,Mizener,R,6,,FB,10,0,0
6/18/2024,Carolina,Mizener,R,6,79,FB,5,0,0
6/18/2024,Carolina,Mizener,R,6,77,CH,5,1,0
6/18/2024,Carolina,Mizener,R,6,69,CB,7,1,0
6/18/2024,Carolina,Mizener,L,7,75,CH,6,1,0
6/18/2024,Carolina,Mizener,L,7,77,CH,4,0,0
6/18/2024,Carolina,Mizener,L,7,68,CB,8,1,0
6/18/2024,Carolina,Mizener,L,7,69,CB,9,1,0
6/18/2024,Carolina,Mizener,L,7,81,FB,3,1,0
6/18/2024,Carolina,Mizener,L,7,71,CB,7,1,0
6/18/2024,Carolina,Mizener,L,7,72,SL,13,1,0
6/18/2024,Carolina,Mizener,L,7,79,FB,10,0,0
6/18/2024,Carolina,Mizener,L,7,70,CB,6,1,0
6/18/2024,Carolina,Mizener,L,7,71,CB,8,1,0
6/18/2024,Carolina,Mizener,R,8,69,CB,6,0,0
6/18/2024,Carolina,Mizener,R,8,70,CB,9,1,0
6/18/2024,Carolina,Mizener,R,9,81,FB,11,0,0
6/18/2024,Carolina,Mizener,R,9,76,CH,13,0,0
6/18/2024,Carolina,Mizener,R,9,79,FB,10,1,1
6/18/2024,Carolina,Mizener,R,9,80,FB,13,0,0
6/18/2024,Carolina,Mizener,R,9,80,FB,4,1,1
6/18/2024,Carolina,Mizener,R,9,78,CH,2,1,1
6/18/2024,Carolina,Mizener,R,10,79,FB,13,0,0
6/18/2024,Carolina,Mizener,R,10,69,CB,13,0,0
6/18/2024,Carolina,Mizener,R,10,80,FB,3,1,0
6/18/2024,Carolina,Mizener,R,10,73,SL,13,0,0
6/18/2024,Carolina,Mizener,R,10,65,CB,13,0,0
6/18/2024,Carolina,Mizener,R,10,81,FB,1,1,0
6/18/2024,Carolina,Mizener,R,11,79,FB,10,0,0
6/18/2024,Carolina,Mizener,R,11,75,CH,2,1,0
6/18/2024,Carolina,Mizener,R,12,70,CB,13,0,0
6/18/2024,Carolina,Mizener,R,12,,FB,8,0,0
6/18/2024,Carolina,Mizener,R,12,80,FB,13,0,0
6/18/2024,Carolina,Mizener,R,12,81,FB,4,1,0
6/18/2024,Carolina,Mizener,R,13,82,FB,11,1,0
6/18/2024,Carolina,Mizener,R,13,78,CH,12,1,1
6/18/2024,Carolina,Mizener,R,13,77,CH,11,1,0
6/18/2024,Carolina,Mizener,R,14,79,FB,10,0,0
6/18/2024,Carolina,Mizener,R,14,79,FB,13,0,0
6/18/2024,Carolina,Mizener,R,14,77,CH,10,0,0
6/18/2024,Carolina,Mizener,R,14,79,FB,9,0,0
6/18/2024,Carolina,Mizener,R,14,78,FB,6,1,1
6/18/2024,Carolina,Mizener,R,14,77,SL,13,1,1
