date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
6/11/2024,Clayton,Snelson,R,1,SL,9,0,0,strike,looking,,
6/11/2024,Clayton,Snelson,R,1,FB,12,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,1,FB,6,1,0,foul,,,
6/11/2024,Clayton,Snelson,R,1,FB,10,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,1,CH,13,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,1,FB,12,0,0,ball,walk,,
6/11/2024,Clayton,Snelson,R,2,CH,10,0,0,ball,hbp,,
6/11/2024,Clayton,Snelson,L,3,FB,5,0,0,strike,looking,,
6/11/2024,Clayton,Snelson,L,3,CB,4,1,0,foul,,,
6/11/2024,Clayton,Snelson,L,3,FB,12,0,0,ball,hbp,,
6/11/2024,Clayton,Snelson,R,4,FB,3,1,0,foul,,,
6/11/2024,Clayton,Snelson,R,4,CB,10,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,4,CH,13,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,4,CB,13,0,0,ball,,,
6/11/2024,Clayton,Snelson,R,4,FB,9,1,0,bip,fly,6,fo9
6/4/2024,High Point,Snelson,R,1,FB,10,1,0,bip,popup,7,po3
6/4/2024,High Point,Snelson,R,2,FB,1,1,0,foul,,,
6/4/2024,High Point,Snelson,R,2,CH,3,1,0,foul,,,
6/4/2024,High Point,Snelson,R,2,FB,13,0,0,ball,,,
6/4/2024,High Point,Snelson,R,2,FB,2,1,0,bip,fly,4,double
6/4/2024,High Point,Snelson,R,3,CH,10,0,0,ball,,,
6/4/2024,High Point,Snelson,R,3,FB,2,1,0,foul,,,
6/4/2024,High Point,Snelson,R,3,CB,10,0,0,ball,,,
6/4/2024,High Point,Snelson,R,3,FB,13,1,1,strike,swinging,,
6/4/2024,High Point,Snelson,R,3,CB,10,0,0,ball,,,
6/4/2024,High Point,Snelson,R,3,CH,3,1,0,foul,,,
6/4/2024,High Point,Snelson,R,3,CH,11,0,0,ball,walk,,
6/4/2024,High Point,Snelson,L,4,FB,6,0,0,strike,looking,,
6/4/2024,High Point,Snelson,L,4,FB,13,0,0,ball,,,
6/4/2024,High Point,Snelson,L,4,SL,12,0,0,ball,,,
6/4/2024,High Point,Snelson,L,4,FB,7,1,1,strike,swinging,,
6/4/2024,High Point,Snelson,L,4,FB,12,0,0,ball,,,
6/4/2024,High Point,Snelson,L,4,CH,9,1,0,foul,,,
6/4/2024,High Point,Snelson,L,4,FB,4,1,1,strike,swinging,,k
5/28/2024,Carolina,Snelson,R,1,FB,8,1,1,strike,swinging,,
5/28/2024,Carolina,Snelson,R,1,FB,5,1,0,foul,,,
5/28/2024,Carolina,Snelson,R,1,FB,2,1,0,foul,,,
5/28/2024,Carolina,Snelson,R,1,CB,12,0,0,ball,,,
5/28/2024,Carolina,Snelson,R,1,FB,7,1,0,bip,fly,5,fo8
5/28/2024,Carolina,Snelson,R,2,CH,9,1,0,foul,,,
5/28/2024,Carolina,Snelson,R,2,CB,7,1,0,foul,,,
5/28/2024,Carolina,Snelson,R,2,FB,12,1,1,strike,swinging,,k
